name,squad,ageAvg,foreigners,marketValueAvg,totalMarketValue,rank,points,teamAverage,teamMatches,leagueName
RCD Espanyol Barcelona,29,25.7,8,€1.56m,€45.15m,5 ,61,8,38,ES1
RCD Mallorca,32,26.3,11,€1.26m,€40.20m,17 ,39,-21,38,ES1
Racing Santander,34,24.5,13,€968k,€32.90m,16 ,44,-17,38,ES1
Málaga CF,31,25.6,9,€1.06m,€32.85m,10 ,51,-8,38,ES1
CA Osasuna,26,25.8,8,€1.03m,€26.65m,15 ,46,-19,38,ES1
Levante UD,27,29.0,8,€898k,€24.25m,18 ,37,-19,38,ES1
Albacete Balompié,38,25.4,8,€467k,€17.75m,20 ,28,-23,38,ES1
Getafe CF,29,27.2,3,€478k,€13.85m,13 ,47,-8,38,ES1
CD Numancia,30,27.0,7,€447k,€13.40m,19 ,29,-31,38,ES1
Juventus FC,38,26.8,23,€17.42m,€661.88m,1 ,83,33,38,IT1
Inter Milan,34,26.7,18,€17.83m,€606.05m,2 ,82,45,38,IT1
SSC Napoli,33,26.7,24,€16.61m,€548.28m,7 ,62,11,38,IT1
AC Milan,37,25.2,22,€10.93m,€404.33m,6 ,66,17,38,IT1
AS Roma,36,25.6,23,€10.91m,€392.73m,5 ,70,26,38,IT1
SS Lazio,34,26.1,24,€8.94m,€303.88m,4 ,78,37,38,IT1
ACF Fiorentina,42,24.7,28,€7.20m,€302.23m,10 ,49,3,38,IT1
Atalanta BC,37,24.9,26,€7.88m,€291.43m,3 ,78,50,38,IT1
US Sassuolo,44,24.3,18,€3.82m,€167.98m,8 ,51,6,38,IT1
Cagliari Calcio,41,25.8,16,€4.09m,€167.83m,14 ,45,-4,38,IT1
Torino FC,37,24.7,17,€4.42m,€163.55m,16 ,40,-22,38,IT1
Genoa CFC,43,26.2,25,€3.31m,€142.38m,17 ,39,-26,38,IT1
UC Sampdoria,38,25.1,19,€3.56m,€135.28m,15 ,42,-17,38,IT1
Bologna FC 1909,40,24.5,26,€3.24m,€129.65m,12 ,47,-13,38,IT1
Parma Calcio 1913,40,26.1,19,€3.22m,€128.75m,11 ,49,-1,38,IT1
Udinese Calcio,39,24.9,28,€3.10m,€121.08m,13 ,45,-14,38,IT1
Hellas Verona,40,25.0,19,€2.81m,€112.53m,9 ,49,-4,38,IT1
Brescia Calcio,33,25.9,11,€2.52m,€83.23m,19 ,25,-44,38,IT1
SPAL,42,25.6,23,€1.75m,€73.63m,20 ,20,-50,38,IT1
US Lecce,47,25.0,17,€1.11m,€52.33m,18 ,35,-33,38,IT1
FC Internazionale,32,27.9,25,€10.25m,€327.90m,1 ,84,38,38,IT1
AC Milan,35,27.7,19,€9.13m,€319.40m,3 ,74,35,38,IT1
AS Roma,40,25.8,18,€6.67m,€266.80m,6 ,63,3,38,IT1
Juventus FC,34,26.6,14,€7.55m,€256.85m,2 ,74,32,38,IT1
ACF Fiorentina,38,25.0,18,€5.19m,€197.10m,4 ,68,15,38,IT1
Udinese Calcio,37,23.6,20,€3.37m,€124.65m,7 ,58,11,38,IT1
SS Lazio,37,25.4,17,€2.96m,€109.65m,10 ,50,-9,38,IT1
US Palermo,47,23.9,11,€2.26m,€106.35m,8 ,57,7,38,IT1
SSC Napoli,31,27.0,10,€3.27m,€101.50m,12 ,46,-2,38,IT1
UC Sampdoria,47,23.5,12,€2.01m,€94.30m,13 ,46,-3,38,IT1
Genoa CFC,47,23.2,15,€1.95m,€91.70m,5 ,68,17,38,IT1
Torino FC,35,27.2,4,€1.85m,€64.90m,18 ,34,-24,38,IT1
Atalanta BC,36,25.0,7,€1.78m,€64.20m,11 ,47,-3,38,IT1
