name,squad,ageAvg,foreigners,marketValueAvg,totalMarketValue,rank,points,teamAverage,teamMatches,leagueName
Paris Saint-Germain,35,25.0,19,25.72,900.1,1,93,79,38,FR1
AS Monaco,38,23.5,26,13.94,529.8,2,80,40,38,FR1
Olympique Lyon,34,23.1,18,10.7,363.8,3,78,44,38,FR1
Olympique Marseille,29,26.8,13,8.17,236.8,4,77,33,38,FR1
OGC Nice,39,23.6,16,5.23,204.1,8,54,1,38,FR1
FC Girondins Bordeaux,37,24.1,21,4.2,155.45,6,55,5,38,FR1
Stade Rennais FC,35,24.3,17,3.75,131.25,5,58,6,38,FR1
FC Toulouse,28,24.5,14,3.94,110.45,18,37,-16,38,FR1
AS Saint-Etienne,40,24.8,22,2.67,106.88,7,55,-3,38,FR1
FC Nantes,36,24.6,21,2.94,105.7,9,52,-5,38,FR1
LOSC Lille,32,22.0,18,3.02,96.75,17,38,-26,38,FR1
Montpellier HSC,30,25.4,14,2.4,71.85,10,51,3,38,FR1
Dijon FCO,35,25.6,16,2.01,70.3,11,48,-18,38,FR1
Amiens SC,34,27.3,19,2.05,69.85,13,45,-5,38,FR1
Angers SCO,33,26.1,18,2.11,69.55,14,41,-10,38,FR1
SM Caen,33,25.8,17,1.82,60.1,16,38,-25,38,FR1
EA Guingamp,30,26.7,13,1.73,51.9,12,47,-11,38,FR1
FC Metz,44,24.7,26,1.16,51.2,20,26,-42,38,FR1
RC Strasbourg Alsace,31,26.3,15,1.47,45.6,15,38,-23,38,FR1
ESTAC Troyes,30,26.0,16,1.5,45.05,19,33,-27,38,FR1
FC Internazionale,48,25.4,28,6.31,303.05,6,58,3,38,IT1
AC Milan,45,26.2,21,6.08,273.53,2,80,41,38,IT1
Juventus FC,34,27.8,12,7.71,262.28,1,84,48,38,IT1
SSC Napoli,29,28.2,15,7.06,204.75,5,61,20,38,IT1
AS Roma,39,25.5,18,4.43,172.78,7,56,6,38,IT1
Udinese Calcio,49,23.4,25,2.86,140.13,3,64,17,38,IT1
ACF Fiorentina,40,24.6,21,3.27,130.83,13,46,-6,38,IT1
US Palermo,46,24.5,25,2.59,119.05,16,43,-10,38,IT1
SS Lazio,52,25.3,22,2.19,113.63,4,62,9,38,IT1
Genoa CFC,39,25.7,21,2.67,104.3,17,42,-19,38,IT1
Parma FC,43,25.2,12,1.92,82.35,8,56,1,38,IT1
Cagliari Calcio,33,24.8,12,2.17,71.65,15,43,-9,38,IT1
Atalanta BC,36,27.4,5,1.88,67.58,12,46,-2,38,IT1
Bologna FC 1909,41,24.8,18,1.56,63.9,9,51,-2,38,IT1
Calcio Catania,39,26.5,21,1.52,59.25,11,48,-5,38,IT1
Chievo Verona,40,26.2,20,1.12,44.8,10,49,-10,38,IT1
AC Siena,37,26.9,10,1.06,39.33,14,44,0,38,IT1
AC Cesena,45,25.2,21,0.867,39.03,20,22,-36,38,IT1
US Lecce,41,25.8,17,0.915,37.53,18,36,-16,38,IT1
Novara Calcio 1908,38,26.8,13,0.748,28.43,19,32,-30,38,IT1
FC Internazionale,44,25.6,27,7.89,346.95,2,76,27,38,IT1
AC Milan,45,27.2,22,6.4,288.08,1,82,41,38,IT1
Juventus FC,51,25.5,15,5.08,258.93,7,58,10,38,IT1
ACF Fiorentina,42,24.4,22,4.18,175.48,9,51,5,38,IT1
AS Roma,43,26.2,22,4.02,172.98,6,63,7,38,IT1
SSC Napoli,31,27.8,10,5.5,170.43,3,70,20,38,IT1
Genoa CFC,45,24.8,22,3.74,168.18,10,51,-2,38,IT1
Udinese Calcio,40,24.1,23,3.43,137.05,4,66,22,38,IT1
UC Sampdoria,46,24.0,14,2.72,125.05,18,36,-16,38,IT1
US Palermo,45,23.7,16,2.73,123.03,8,56,-5,38,IT1
SS Lazio,44,26.6,22,2.54,111.73,5,66,16,38,IT1
Parma FC,43,25.2,14,2.0,86.05,12,46,-8,38,IT1
Cagliari Calcio,37,27.2,6,2.3,85.03,14,45,-7,38,IT1
AC Cesena,45,25.9,22,1.43,64.23,15,43,-12,38,IT1
Bologna FC 1909,38,24.4,14,1.66,63.05,16,42,-17,38,IT1
Calcio Catania,35,26.3,17,1.73,60.68,13,46,-12,38,IT1
AS Bari,46,25.2,15,1.12,51.5,20,24,-29,38,IT1
Chievo Verona,43,26.7,21,1.14,48.95,11,46,-2,38,IT1
Brescia Calcio,43,25.6,19,0.885,38.05,19,32,-18,38,IT1
US Lecce,37,25.1,15,0.884,32.7,17,41,-20,38,IT1
Paris Saint-Germain,41,25.7,27,21.35,875.15,1,86,54,38,FR1
Olympique Lyon,40,24.3,20,9.94,397.7,8,61,15,38,FR1
AS Monaco,41,23.3,22,9.66,396.0,3,69,25,38,FR1
LOSC Lille,41,24.0,28,7.48,306.88,10,55,0,38,FR1
Stade Rennais FC,36,22.9,11,8.48,305.35,4,66,42,38,FR1
Olympique Marseille,38,23.5,21,7.49,284.7,2,71,25,38,FR1
OGC Nice,34,23.8,20,7.83,266.05,5,66,16,38,FR1
RC Lens,35,24.8,17,4.4,154.05,7,62,14,38,FR1
Stade Reims,40,23.5,27,3.74,149.4,12,46,-1,38,FR1
Montpellier HSC,36,24.8,16,4.02,144.6,13,43,-12,38,FR1
RC Strasbourg Alsace,33,24.8,15,3.64,120.05,6,63,17,38,FR1
FC Girondins Bordeaux,54,24.0,33,2.16,116.85,20,31,-39,38,FR1
FC Nantes,31,25.6,13,3.63,112.65,9,55,7,38,FR1
AS Saint-Etienne,44,24.0,20,2.4,105.65,18,32,-35,38,FR1
Stade Brestois 29,30,25.5,9,3.44,103.15,11,48,-8,38,FR1
FC Metz,41,25.0,27,2.22,91.05,19,31,-34,38,FR1
Angers SCO,38,25.4,18,2.36,89.5,14,41,-11,38,FR1
ESTAC Troyes,50,24.6,25,1.46,73.2,15,38,-16,38,FR1
FC Lorient,35,25.4,13,1.75,61.3,16,36,-28,38,FR1
Clermont Foot 63,39,25.1,20,1.41,55.1,17,36,-31,38,FR1
Paris Saint-Germain,39,24.5,22,13.31,519.0,2,87,56,38,FR1
AS Monaco,47,23.2,31,6.59,309.55,1,95,76,38,FR1
Olympique Lyon,34,23.6,12,6.22,211.35,4,67,29,38,FR1
OGC Nice,39,23.5,16,3.41,132.8,3,78,27,38,FR1
Olympique Marseille,33,25.7,13,3.63,119.65,5,62,16,38,FR1
FC Girondins Bordeaux,36,24.6,21,2.47,88.9,6,59,10,38,FR1
AS Saint-Etienne,42,24.0,19,2.02,85.03,8,50,-1,38,FR1
LOSC Lille,46,24.6,25,1.82,83.9,11,46,-7,38,FR1
Stade Rennais FC,43,25.0,22,1.88,80.9,9,50,-6,38,FR1
FC Toulouse,38,23.9,20,2.03,77.3,13,44,-4,38,FR1
FC Lorient,41,25.1,18,1.49,61.1,18,36,-26,38,FR1
Montpellier HSC,35,25.6,19,1.74,60.95,15,39,-18,38,FR1
FC Nantes,30,24.4,18,1.7,50.9,7,51,-14,38,FR1
Angers SCO,36,26.3,20,1.28,46.08,12,46,-9,38,FR1
EA Guingamp,35,26.2,14,1.21,42.5,10,50,-7,38,FR1
FC Metz,39,24.5,24,0.963,37.55,14,43,-33,38,FR1
SM Caen,36,26.1,19,1.02,36.65,17,37,-29,38,FR1
SC Bastia,37,25.1,19,0.985,36.45,20,34,-25,38,FR1
AS Nancy-Lorraine,30,26.1,15,1.1,33.1,19,35,-23,38,FR1
Dijon FCO,33,26.3,12,0.945,31.2,16,37,-12,38,FR1
Paris Saint-Germain,32,25.3,16,11.37,363.9,1,83,47,38,FR1
AS Monaco,34,24.1,26,5.52,187.7,3,71,25,38,FR1
Olympique Lyon,31,24.4,14,4.67,144.65,2,75,39,38,FR1
Olympique Marseille,34,23.2,16,4.11,139.7,4,69,34,38,FR1
AS Saint-Etienne,31,25.4,11,2.69,83.35,5,69,21,38,FR1
LOSC Lille,31,25.3,18,2.67,82.65,8,56,1,38,FR1
FC Girondins Bordeaux,39,23.8,24,1.83,71.5,6,63,3,38,FR1
Stade Rennais FC,30,24.9,19,2.2,66.0,9,50,-7,38,FR1
FC Lorient,39,24.7,20,1.54,59.95,16,43,-6,38,FR1
OGC Nice,37,23.4,14,1.52,56.25,11,48,-9,38,FR1
Montpellier HSC,36,25.2,19,1.44,51.95,7,56,7,38,FR1
FC Toulouse,36,23.7,25,1.36,48.8,17,42,-21,38,FR1
FC Nantes,30,25.0,19,1.56,46.85,14,45,-11,38,FR1
Stade Reims,32,25.7,19,1.23,39.25,15,44,-19,38,FR1
EA Guingamp,31,26.8,14,1.17,36.25,10,49,-14,38,FR1
FC Evian Thonon Gaillard,33,27.0,21,1.1,36.15,18,37,-21,38,FR1
SC Bastia,41,24.6,20,0.835,34.25,12,47,-9,38,FR1
SM Caen,27,27.1,11,1.2,32.4,13,46,-1,38,FR1
FC Metz,32,25.4,23,0.933,29.85,19,30,-30,38,FR1
RC Lens,29,24.4,16,0.938,27.2,20,29,-29,38,FR1
Olympique Lyon,29,24.1,13,6.56,190.25,3,64,21,38,FR1
Olympique Marseille,35,25.9,21,4.8,167.9,2,68,23,38,FR1
LOSC Lille,28,25.2,16,4.55,127.4,1,76,32,38,FR1
FC Girondins Bordeaux,35,24.8,17,3.53,123.65,7,51,1,38,FR1
Stade Rennais FC,33,23.6,19,3.3,108.95,6,56,3,38,FR1
Paris Saint-Germain,29,26.4,14,3.46,100.2,4,60,15,38,FR1
FC Toulouse,32,23.9,16,2.52,80.63,8,50,2,38,FR1
AS Monaco,38,24.6,23,1.98,75.4,18,44,-4,38,FR1
AS Saint-Etienne,32,24.8,17,2.25,72.05,10,49,-1,38,FR1
AJ Auxerre,40,24.3,22,1.66,66.2,9,49,4,38,FR1
OGC Nice,36,25.3,21,1.76,63.5,17,46,-15,38,FR1
FC Lorient,32,25.2,12,1.96,62.75,11,49,-2,38,FR1
FC Sochaux-Montbeliard,30,24.1,14,2.0,60.1,5,58,17,38,FR1
